職業	性別	性格
商人	男性	むっつりスケベ
盗賊	男性	うっかりもの
僧侶	女性	おてんば
魔法使い	女性	おてんば
僧侶	男性	あまえんぼう
僧侶	男性	引っ込み思案
魔法使い	男性	むっつりスケベ
魔法使い	女性	うっかりもの
武闘家	女性	一匹狼
遊び人	女性	うっかりもの
商人	男性	一匹狼
盗賊	女性	一匹狼
商人	女性	引っ込み思案
武闘家	男性	うっかりもの
賢者	女性	うっかりもの
商人	女性	おてんば
戦士	男性	むっつりスケベ
戦士	女性	うっかりもの
商人	男性	うっかりもの
遊び人	女性	あまえんぼう
戦士	女性	おてんば
賢者	女性	おてんば
戦士	女性	引っ込み思案
武闘家	男性	引っ込み思案
戦士	男性	一匹狼
賢者	男性	一匹狼
盗賊	女性	おてんば
賢者	女性	あまえんぼう
賢者	男性	むっつりスケベ
賢者	男性	引っ込み思案
魔法使い	女性	引っ込み思案
商人	男性	あまえんぼう
遊び人	男性	一匹狼
遊び人	女性	おてんば
魔法使い	男性	あまえんぼう
僧侶	女性	うっかりもの
戦士	男性	あまえんぼう
盗賊	男性	むっつりスケベ
武闘家	男性	むっつりスケベ
僧侶	男性	むっつりスケベ
武闘家	男性	あまえんぼう
盗賊	男性	あまえんぼう
遊び人	男性	むっつりスケベ
武闘家	女性	おてんば
